Date,Close
1/2/2019 16:00:00,7.9
1/3/2019 16:00:00,7.78
1/4/2019 16:00:00,8.08
1/7/2019 16:00:00,8.29
1/8/2019 16:00:00,8.37
1/9/2019 16:00:00,8.72
1/10/2019 16:00:00,8.67
1/11/2019 16:00:00,8.82
1/14/2019 16:00:00,8.99
1/15/2019 16:00:00,8.84
1/16/2019 16:00:00,8.29
1/17/2019 16:00:00,8.36
1/18/2019 16:00:00,8.58
1/22/2019 16:00:00,8.5
1/23/2019 16:00:00,8.34
1/24/2019 16:00:00,8.6
1/25/2019 16:00:00,8.86
1/28/2019 16:00:00,8.66
1/29/2019 16:00:00,8.76
1/30/2019 16:00:00,8.71
1/31/2019 16:00:00,8.8
2/1/2019 16:00:00,8.72
2/4/2019 16:00:00,8.7
2/5/2019 16:00:00,8.75
2/6/2019 16:00:00,8.72
2/7/2019 16:00:00,8.31
2/8/2019 16:00:00,8.39
2/11/2019 16:00:00,8.33
2/12/2019 16:00:00,8.46
2/13/2019 16:00:00,8.41
2/14/2019 16:00:00,8.42
2/15/2019 16:00:00,8.54
2/19/2019 16:00:00,8.83
2/20/2019 16:00:00,8.94
2/21/2019 16:00:00,8.71
2/22/2019 16:00:00,8.71
2/25/2019 16:00:00,8.76
2/26/2019 16:00:00,8.88
2/27/2019 16:00:00,8.78
2/28/2019 16:00:00,8.77
3/1/2019 16:00:00,8.79
3/4/2019 16:00:00,8.81
3/5/2019 16:00:00,8.77
3/6/2019 16:00:00,8.58
3/7/2019 16:00:00,8.48
3/8/2019 16:00:00,8.42
3/11/2019 16:00:00,8.61
3/12/2019 16:00:00,8.57
3/13/2019 16:00:00,8.53
3/14/2019 16:00:00,8.41
3/15/2019 16:00:00,8.43
3/18/2019 16:00:00,8.57
3/19/2019 16:00:00,8.7
3/20/2019 16:00:00,8.51
3/21/2019 16:00:00,8.69
3/22/2019 16:00:00,8.54
3/25/2019 16:00:00,8.51
3/26/2019 16:00:00,8.76
3/27/2019 16:00:00,8.62
3/28/2019 16:00:00,8.77
3/29/2019 16:00:00,8.78
4/1/2019 16:00:00,8.98
4/2/2019 16:00:00,9.01
4/3/2019 16:00:00,9.13
4/4/2019 16:00:00,9.24
4/5/2019 16:00:00,9.25
4/8/2019 16:00:00,9.3
4/9/2019 16:00:00,9.21
4/10/2019 16:00:00,9.33
4/11/2019 16:00:00,9.39
4/12/2019 16:00:00,9.45
4/15/2019 16:00:00,9.33
4/16/2019 16:00:00,9.36
4/17/2019 16:00:00,9.5
4/18/2019 16:00:00,9.55
4/22/2019 16:00:00,9.35
4/23/2019 16:00:00,9.5
4/24/2019 16:00:00,9.57
4/25/2019 16:00:00,9.4
4/26/2019 16:00:00,10.41
4/29/2019 16:00:00,10.32
