Date,Close
1/2/2019 16:00:00,10.02
1/3/2019 16:00:00,10
1/4/2019 16:00:00,10.04
1/7/2019 16:00:00,10.03
1/8/2019 16:00:00,10.04
1/9/2019 16:00:00,10.06
1/10/2019 16:00:00,10.04
1/11/2019 16:00:00,10.04
1/14/2019 16:00:00,10.03
1/15/2019 16:00:00,10.03
1/16/2019 16:00:00,10.06
1/17/2019 16:00:00,10.04
1/18/2019 16:00:00,10.06
1/22/2019 16:00:00,10.03
1/23/2019 16:00:00,10.06
1/24/2019 16:00:00,10.06
1/25/2019 16:00:00,10.05
1/28/2019 16:00:00,10.08
1/29/2019 16:00:00,10.05
1/30/2019 16:00:00,10.07
1/31/2019 16:00:00,10.05
2/1/2019 16:00:00,10.1
2/4/2019 16:00:00,10.06
2/5/2019 16:00:00,10.09
2/6/2019 16:00:00,10.07
2/7/2019 16:00:00,10.09
2/8/2019 16:00:00,10.1
2/11/2019 16:00:00,10.08
2/12/2019 16:00:00,10.09
2/13/2019 16:00:00,10.1
2/14/2019 16:00:00,10.09
2/15/2019 16:00:00,10.1
2/19/2019 16:00:00,10.1
2/20/2019 16:00:00,10.14
2/21/2019 16:00:00,10.18
2/22/2019 16:00:00,10.16
2/25/2019 16:00:00,10.11
2/26/2019 16:00:00,10.13
2/27/2019 16:00:00,10.11
2/28/2019 16:00:00,10.12
3/1/2019 16:00:00,10.11
3/4/2019 16:00:00,10.14
3/5/2019 16:00:00,10.13
3/6/2019 16:00:00,10.15
3/7/2019 16:00:00,10.11
3/8/2019 16:00:00,10.13
3/11/2019 16:00:00,10.14
3/12/2019 16:00:00,10.14
3/13/2019 16:00:00,10.14
3/14/2019 16:00:00,10.14
3/15/2019 16:00:00,10.13
3/18/2019 16:00:00,10.14
3/19/2019 16:00:00,10.15
3/20/2019 16:00:00,10.14
3/21/2019 16:00:00,10.18
3/22/2019 16:00:00,10.17
3/25/2019 16:00:00,10.17
3/26/2019 16:00:00,10.16
3/27/2019 16:00:00,10.17
3/28/2019 16:00:00,10.19
3/29/2019 16:00:00,10.19
4/1/2019 16:00:00,10.19
4/2/2019 16:00:00,10.21
4/3/2019 16:00:00,10.19
